MSC	BSC	CELL	bts	lac	ci	BCCH	BSIC	Cell_name	bts_name	longitude	latitude	dir	height	tilt	ground_height	ant_bw	ant_size	band	tch	载波数
GZS06V	JMSM1B2	JMTLAO1	JMTLAO	9860	20231	46	74	台山里坳1	台山里坳1	112.8175	22.3751	10	0	6	0				13	2
GZS06V	JMSM1B2	JMTLAO2	JMTLAO	9860	20232	31	61	台山里坳2	台山里坳2	112.8175	22.3751	200	0	5	0				21	3
GZS06V	JMSM1B2	JMTLAO3	JMTLAO	9860	20233	40	31	台山里坳3	台山里坳3	112.8175	22.3751	310	0	6	0				41	6
GZS06V	JMSM1B2	JMTLDI1	JMTLDI	9860	20151	41	53	台山利迪1	台山利迪1	112.803	22.25026	80	0	8	0				55	8
GZS06V	JMSM1B2	JMTLDI2	JMTLDI	9860	20152	36	45	台山利迪2	台山利迪2	112.803	22.25026	210	0	8	0				56	8
GZS06V	JMSM1B2	JMTLDI3	JMTLDI	9860	20153	39	26	台山利迪3	台山利迪3	112.803	22.25026	340	0	6	0				61	9
GZS06V	JMSM1B2	JMTLXI1	JMTLXI	9860	23601	41	45	台山凌溪1	台山凌溪1	112.831463	22.251452	0	0	3	0				29	4
GZS06V	JMSM1B2	JMTLXI2	JMTLXI	9860	23602	46	50	台山凌溪2	台山凌溪2	112.831463	22.251452	150	0	3	0				29	4
GZS06V	JMSM1B2	JMTLXI3	JMTLXI	9860	23603	51	60	台山凌溪3	台山凌溪3	112.831463	22.251452	300	0	3	0				29	4
GZS06V	JMSM1B2	JMTLZT1	JMTLZT	9860	23301	47	21	台山荔枝塘1	台山荔枝塘1	112.75856	22.38893	0	0	2	0				44	6
GZS06V	JMSM1B2	JMTLZT2	JMTLZT	9860	23302	54	76	台山荔枝塘2	台山荔枝塘2	112.75856	22.38893	180	0	2	0				29	4
GZS06V	JMSM1B2	JMTLZT3	JMTLZT	9860	23303	36	62	台山荔枝塘3	台山荔枝塘3	112.75856	22.38893	250	0	2	0				28	4
GZS06V	JMSM1B2	JMTMXG1	JMTMXG	9860	20261	38	63	台山麦巷1	台山麦巷1	112.808056	22.423889	60	0	6	0				41	6
GZS06V	JMSM1B2	JMTMXG2	JMTMXG	9860	20262	47	43	台山麦巷2	台山麦巷2	112.808056	22.423889	180	0	4	0				13	2
